"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Ontario","2016A000235","Imports","Gigajoules","Gigajoules","143","thousands","3","v107638523","7.3.2","74606.1","","","","1"
"2016-01","Ontario","2016A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1475215.0","","","","1"
"2016-01","Ontario","2016A000235","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638525","7.4.2","55904.9","","","","1"
"2016-01","Ontario","2016A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1213200.0","","","","1"
"2016-01","Ontario","2016A000235","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638527","7.5.2","46561.6","","","","1"
"2016-01","Ontario","2016A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","819579.0","","","","1"
"2016-01","Ontario","2016A000235","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638529","7.6.2","31072.6","","","","1"
"2016-01","Ontario","2016A000235","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638530","7.7.1","953633.0","","","","1"
"2016-01","Ontario","2016A000235","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638531","7.7.2","36711.5","","","","1"
"2016-01","Ontario","2016A000235","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638532","7.8.1","8172093.7","","","","1"
"2016-01","Ontario","2016A000235","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107638533","7.8.2","318711.7","","","","1"
"2016-01","Ontario","2016A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638534","7.9.1","6674164.2","","","","1"
"2016-01","Ontario","2016A000235","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107638535","7.9.2","254352.4","","","","1"
"2016-01","Ontario","2016A000235","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638536","7.10.1","-1497929.5","","","","1"
"2016-01","Ontario","2016A000235","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107638537","7.10.2","-64359.3","","","","1"
"2016-01","Manitoba","2016A000246","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638538","8.3.1","15361.0","","","","1"
"2016-01","Manitoba","2016A000246","Imports","Gigajoules","Gigajoules","143","thousands","3","v107638539","8.3.2","591.4","","","","1"
"2016-01","Manitoba","2016A000246","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638540","8.4.1","93364.0","","","","1"
"2016-01","Manitoba","2016A000246","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638541","8.4.2","3572.1","","","","1"
"2016-01","Manitoba","2016A000246","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638542","8.5.1","73755.0","","","","1"
"2016-01","Manitoba","2016A000246","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638543","8.5.2","2821.9","","","","1"
"2016-01","Manitoba","2016A000246","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638544","8.6.1","112359.0","","","","1"
"2016-01","Manitoba","2016A000246","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638545","8.6.2","4298.9","","","","1"
"2016-01","Manitoba","2016A000246","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638546","8.7.1","536114.0","","","","1"
"2016-01","Manitoba","2016A000246","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638547","8.7.2","20639.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638548","9.1.1","472358.4","","","","1"
"2016-01","Saskatchewan","2016A000247","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638549","9.1.2","18417.3","","","","1"
"2016-01","Saskatchewan","2016A000247","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638550","9.2.1","249675.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638551","9.2.2","9585.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Imports","Cubic metres","Cubic metres","72","thousands","3","v110830902","9.3.1","46.5","","","","1"
"2016-01","Saskatchewan","2016A000247","Imports","Gigajoules","Gigajoules","143","thousands","3","v110830903","9.3.2","1.8","","","","1"
"2016-01","Saskatchewan","2016A000247","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638552","9.4.1","147802.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638553","9.4.2","5688.9","","","","1"
"2016-01","Saskatchewan","2016A000247","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638554","9.5.1","477000.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638555","9.5.2","18312.3","","","","1"
"2016-01","Saskatchewan","2016A000247","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638556","9.6.1","118940.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638557","9.6.2","4578.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638558","9.7.1","2679429.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638559","9.7.2","106861.8","","","","1"
"2016-01","Saskatchewan","2016A000247","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638560","9.8.1","713734.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107638561","9.8.2","27907.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638562","9.9.1","527575.6","","","","1"
"2016-01","Saskatchewan","2016A000247","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107638563","9.9.2","20586.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638564","9.10.1","-186158.4","","","","1"
"2016-01","Saskatchewan","2016A000247","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107638565","9.10.2","-7321.0","","","","1"
"2016-01","Alberta","2016A000248","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638566","10.1.1","11646652.2","","","","1"
"2016-01","Alberta","2016A000248","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638567","10.1.2","454103.0","","","","1"
"2016-01","Alberta","2016A000248","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638568","10.2.1","10133707.0","","","","1"
"2016-01","Alberta","2016A000248","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638569","10.2.2","406135.5","","","","1"
"2016-01","Alberta","2016A000248","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638570","10.4.1","668773.0","","","","1"
"2016-01","Alberta","2016A000248","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638571","10.4.2","26184.8","","","","1"
"2016-01","Alberta","2016A000248","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638572","10.5.1","3911271.0","","","","1"
"2016-01","Alberta","2016A000248","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638573","10.5.2","156190.4","","","","1"
"2016-01","Alberta","2016A000248","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638574","10.6.1","426967.0","","","","1"
"2016-01","Alberta","2016A000248","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638575","10.6.2","16701.8","","","","1"
"2016-01","Alberta","2016A000248","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638576","10.7.1","45751.0","","","","1"
"2016-01","Alberta","2016A000248","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638577","10.7.2","1830.0","","","","1"
"2016-01","Alberta","2016A000248","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638578","10.8.1","15334348.6","","","","1"
"2016-01","Alberta","2016A000248","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107638579","10.8.2","608032.5","","","","1"
"2016-01","Alberta","2016A000248","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638580","10.9.1","13397615.9","","","","1"
"2016-01","Alberta","2016A000248","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107638581","10.9.2","531036.8","","","","1"
"2016-01","Alberta","2016A000248","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638582","10.10.1","-1936732.7","","","","1"
"2016-01","Alberta","2016A000248","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107638583","10.10.2","-76995.6","","","","1"
"2016-01","British Columbia","2016A000259","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638584","11.1.1","4672166.5","","","","1"
"2016-01","British Columbia","2016A000259","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638585","11.1.2","182167.8","","","","1"
"2016-01","British Columbia","2016A000259","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638586","11.2.1","3699479.0","","","","1"
"2016-01","British Columbia","2016A000259","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638587","11.2.2","150441.1","","","","1"
"2016-01","British Columbia","2016A000259","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638588","11.3.1","21497.0","","","","1"
"2016-01","British Columbia","2016A000259","Imports","Gigajoules","Gigajoules","143","thousands","3","v107638589","11.3.2","820.3","","","","1"
"2016-01","British Columbia","2016A000259","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638590","11.4.1","300716.0","","","","1"
"2016-01","British Columbia","2016A000259","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638591","11.4.2","12114.9","","","","1"
"2016-01","British Columbia","2016A000259","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638592","11.5.1","260193.0","","","","1"
"2016-01","British Columbia","2016A000259","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638593","11.5.2","10500.6","","","","1"
"2016-01","British Columbia","2016A000259","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638594","11.6.1","170294.0","","","","1"
"2016-01","British Columbia","2016A000259","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638595","11.6.2","6860.3","","","","1"
"2016-01","British Columbia","2016A000259","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638596","11.7.1","2631591.0","","","","1"
"2016-01","British Columbia","2016A000259","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638597","11.7.2","103455.9","","","","1"
"2016-01","British Columbia","2016A000259","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638598","11.8.1","1502379.8","","","","1"
"2016-01","British Columbia","2016A000259","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107638599","11.8.2","58352.4","","","","1"
"2016-01","British Columbia","2016A000259","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638600","11.9.1","1250308.7","","","","1"
"2016-01","British Columbia","2016A000259","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107638601","11.9.2","48562.0","","","","1"
"2016-01","British Columbia","2016A000259","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638602","11.10.1","-252071.2","","","","1"
"2016-01","British Columbia","2016A000259","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107638603","11.10.2","-9790.4","","","","1"
"2016-01","Northwest Territories","2016A000261","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638604","12.1.1","","x","","","1"
"2016-01","Northwest Territories","2016A000261","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638605","12.1.2","","x","","","1"
"2016-01","Northwest Territories","2016A000261","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638606","12.2.1","11479.7","","","","1"
"2016-01","Northwest Territories","2016A000261","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638607","12.2.2","447.6","","","","1"
"2016-01","Northwest Territories","2016A000261","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638608","12.5.1","11479.7","","","","1"
"2016-01","Northwest Territories","2016A000261","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638609","12.5.2","447.6","","","","1"
"2016-01","Yukon","2016A000260","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638610","13.1.1","","x","","","1"
"2016-01","Yukon","2016A000260","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638611","13.1.2","","x","","","1"
"2016-01","Yukon","2016A000260","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638612","13.2.1","0.0","","","","1"
"2016-01","Yukon","2016A000260","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638613","13.2.2","0.0","","","","1"
"2016-02","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","16162352.6","","","","1"
"2016-02","Canada","2016A000011124","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638455","1.1.2","630655.0","","","","1"
"2016-02","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","13607932.1","","","","1"
"2016-02","Canada","2016A000011124","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638457","1.2.2","546891.6","","","","1"
"2016-02","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","1884700.1","","","","1"
"2016-02","Canada","2016A000011124","Imports","Gigajoules","Gigajoules","143","thousands","3","v107638459","1.3.2","72545.8","","","","1"
"2016-02","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","2384217.0","","","","1"
"2016-02","Canada","2016A000011124","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638461","1.4.2","91624.3","","","","1"
"2016-02","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","5718991.1","","","","1"
"2016-02","Canada","2016A000011124","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638463","1.5.2","225197.7","","","","1"
"2016-02","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","1767570.0","","","","1"
"2016-02","Canada","2016A000011124","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638465","1.6.2","67814.2","","","","1"
"2016-02","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","6676732.0","","","","1"
"2016-02","Canada","2016A000011124","Exports","Gigajoules","Gigajoules","143","thousands","3","v107638467","1.7.2","262921.0","","","","1"
"2016-02","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","22220401.0","","","","1"
"2016-02","Canada","2016A000011124","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107638469","1.8.2","868621.5","","","","1"
"2016-02","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","20472651.7","","","","1"
"2016-02","Canada","2016A000011124","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107638471","1.9.2","800346.9","","","","1"
"2016-02","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-1747749.3","","","","1"
"2016-02","Canada","2016A000011124","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107638473","1.10.2","-68274.6","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638474","2.1.1","","x","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638475","2.1.2","","x","","","1"
"2016-02","Nova Scotia","2016A000212","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638476","4.1.1","193135.3","","","","1"
"2016-02","Nova Scotia","2016A000212","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638477","4.1.2","7536.1","","","","1"
"2016-02","Nova Scotia","2016A000212","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638478","4.2.1","174471.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638479","4.2.2","6820.1","","","","1"
"2016-02","Nova Scotia","2016A000212","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638480","4.4.1","960.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Residential consumption","Gigajoules","Gigajoules","143","thousands","3","v107638481","4.4.2","38.6","","","","1"
"2016-02","Nova Scotia","2016A000212","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638482","4.5.1","29124.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Industrial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638483","4.5.2","1151.7","","","","1"
"2016-02","Nova Scotia","2016A000212","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638484","4.6.1","15602.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Commercial consumption","Gigajoules","Gigajoules","143","thousands","3","v107638485","4.6.2","628.2","","","","1"
"2016-02","New Brunswick","2016A000213","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638486","5.1.1","8301.9","","","","1"
"2016-02","New Brunswick","2016A000213","Gross withdrawals","Gigajoules","Gigajoules","143","thousands","3","v107638487","5.1.2","323.9","","","","1"
"2016-02","New Brunswick","2016A000213","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638488","5.2.1","8287.0","","","","1"
"2016-02","New Brunswick","2016A000213","Marketable production","Gigajoules","Gigajoules","143","thousands","3","v107638489","5.2.2","323.9","","","","1"
"2016-02","New Brunswick","2016A000213","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638490","5.3.1","87081.1","","","","1"
